movie_id,title,genre,language,runtime_min,release_date,rating_cert,production_company,is_3d
1,Eternal Riddle,Adventure,Tamil,112,2025-01-08,A,Sunrise Studios,False
2,Hidden Mirage,Sci-Fi,Hindi,119,2025-04-10,UA,Golden Reel,True
3,Neon Pulse,Adventure,Tamil,106,2024-01-13,U,Golden Reel,False
4,Broken Riddle,Romance,Malayalam,94,2024-05-01,A,BluePeak Films,True
5,Laughing Quest,Horror,English,152,2024-09-16,U,Starlight Media,False
6,Hidden Storm,Drama,Kannada,92,2024-10-31,UA,Riverstone Pictures,False
7,Crimson Quest,Horror,Malayalam,115,2024-05-28,UA,BluePeak Films,False
8,Midnight Horizon,Drama,English,129,2025-03-15,A,BluePeak Films,False
9,Neon Riddle,Comedy,Kannada,115,2024-12-22,UA,Nova Cinema,False
10,Silent Promise,Drama,English,94,2025-07-22,PG-13,Golden Reel,False
11,Laughing Skies,Adventure,Kannada,178,2024-02-03,PG-13,Nova Cinema,True
12,Eternal Quest,Adventure,Malayalam,131,2025-04-30,A,Nova Cinema,False
13,Shadow Secret,Horror,English,163,2024-03-16,PG-13,Sunrise Studios,False
14,Hidden Pulse,Animation,Tamil,109,2024-11-15,A,Riverstone Pictures,False
15,Laughing Secret,Adventure,Hindi,131,2025-03-18,A,Starlight Media,False
16,Broken Skies,Drama,Telugu,151,2025-07-10,PG-13,Golden Reel,False
17,Crimson Riddle,Action,Hindi,148,2024-11-01,A,Riverstone Pictures,True
18,Laughing Echoes,Drama,Malayalam,123,2024-04-21,U,Starlight Media,False
19,Midnight Pulse,Adventure,Kannada,160,2024-11-13,PG-13,Golden Reel,True
20,Golden Echoes,Adventure,Kannada,129,2025-03-18,U,Golden Reel,False
21,Blazing Quest,Adventure,Malayalam,108,2025-06-01,UA,Riverstone Pictures,True
22,Crimson Storm,Adventure,Tamil,110,2024-02-14,UA,Sunrise Studios,False
23,Shadow Echoes,Animation,Hindi,159,2024-12-29,A,Nova Cinema,False
24,Midnight Skies,Drama,Kannada,124,2024-07-01,UA,Sunrise Studios,False
25,Midnight Storm,Thriller,Malayalam,163,2024-11-09,PG-13,Golden Reel,False
26,Eternal Mirage,Family,Kannada,158,2024-09-27,UA,Riverstone Pictures,False
27,Neon Skies,Horror,Telugu,149,2024-04-26,PG-13,Golden Reel,False
28,Silent Pulse,Horror,Malayalam,157,2025-07-26,U,Nova Cinema,False
29,Blazing Pulse,Horror,Hindi,127,2024-05-05,A,Sunrise Studios,True
30,Neon Horizon,Family,Malayalam,118,2024-08-30,PG-13,Riverstone Pictures,True
31,Laughing Odyssey,Romance,Malayalam,127,2025-05-07,UA,Riverstone Pictures,False
32,Crimson Mirage,Drama,Kannada,126,2024-06-24,UA,Riverstone Pictures,True
33,Galactic Quest,Romance,Malayalam,173,2025-03-14,PG-13,BluePeak Films,False
34,Midnight Odyssey,Adventure,Malayalam,145,2024-01-10,U,Riverstone Pictures,True
35,Shadow Quest,Family,Tamil,91,2025-06-22,A,BluePeak Films,True
36,Hidden Promise,Family,Hindi,100,2024-03-10,PG-13,Starlight Media,False
37,Silent Echoes,Horror,Hindi,114,2024-07-11,A,Riverstone Pictures,True
38,Hidden Riddle,Comedy,English,137,2024-03-13,A,Golden Reel,True
39,Broken Promise,Thriller,English,104,2024-07-02,UA,BluePeak Films,False
40,Silent Reckoning,Drama,Telugu,139,2024-10-01,U,Starlight Media,True
41,Eternal Pulse,Family,Malayalam,139,2024-08-27,U,Nova Cinema,False
42,Golden Horizon,Horror,Kannada,92,2024-08-20,UA,Starlight Media,True
43,Silent Horizon,Sci-Fi,English,99,2024-04-23,UA,BluePeak Films,False
44,Blazing Secret,Adventure,English,103,2024-11-28,PG-13,Sunrise Studios,False
45,Crimson Secret,Sci-Fi,Telugu,145,2024-11-13,UA,Golden Reel,True
46,Golden Storm,Adventure,Telugu,178,2024-08-16,PG-13,BluePeak Films,True
47,Blazing Echoes,Family,English,177,2025-05-22,A,Golden Reel,False
48,Shadow Horizon,Thriller,Telugu,146,2024-03-13,PG-13,Golden Reel,False
49,Golden Odyssey,Romance,Tamil,124,2024-06-28,PG-13,BluePeak Films,False
50,Laughing Mirage,Thriller,Kannada,103,2024-10-08,UA,Riverstone Pictures,False
51,Galactic Odyssey,Action,Malayalam,124,2024-06-23,PG-13,Riverstone Pictures,True
52,Galactic Promise,Family,Hindi,177,2024-08-26,U,Riverstone Pictures,False
53,Eternal Storm,Drama,English,173,2024-12-23,A,Golden Reel,True
54,Blazing Storm,Family,English,153,2024-10-28,PG-13,Sunrise Studios,False
55,Neon Reckoning,Thriller,Tamil,138,2024-03-10,A,Sunrise Studios,True
56,Blazing Riddle,Sci-Fi,Hindi,131,2025-04-25,PG-13,Starlight Media,False
57,Laughing Riddle,Horror,English,111,2025-05-27,PG-13,Sunrise Studios,False
58,Eternal Skies,Horror,English,93,2025-03-30,U,Riverstone Pictures,True
59,Laughing Reckoning,Drama,Malayalam,179,2025-05-25,A,BluePeak Films,False
60,Broken Echoes,Comedy,Hindi,104,2024-12-18,A,Golden Reel,False
